証券コード,会社名,基準日,区分,株主数,所有株式数_単元,割合
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,外国法人等 個人,201,607,0.035
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,個人その他,"55,070","248,193",14.549
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,計,"56,273","1,705,858",100.000
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,単元未満株式の状況（株）,,"682,793",
2585,株式会社ライフドリンク　カンパニー,2026-03-31,政府及び地方公共団体,,,
2585,株式会社ライフドリンク　カンパニー,2026-03-31,金融機関,13,"88,801",17.0
2585,株式会社ライフドリンク　カンパニー,2026-03-31,金融商品取引業者,33,"22,989",4.4
2585,株式会社ライフドリンク　カンパニー,2026-03-31,その他の法人,158,"59,126",11.3
2585,株式会社ライフドリンク　カンパニー,2026-03-31,外国法人等 個人以外,147,"174,557",33.4
2585,株式会社ライフドリンク　カンパニー,2026-03-31,外国法人等 個人,58,424,0.1
2585,株式会社ライフドリンク　カンパニー,2026-03-31,個人その他,"10,859","177,060",33.8
2585,株式会社ライフドリンク　カンパニー,2026-03-31,計,"11,268","522,957",100
2585,株式会社ライフドリンク　カンパニー,2026-03-31,単元未満株式の状況（株）,,"32,909",
2586,株式会社フルッタフルッタ,2026-03-31,政府及び地方公共団体,,,
2586,株式会社フルッタフルッタ,2026-03-31,金融機関,2,443,0.04
2586,株式会社フルッタフルッタ,2026-03-31,金融商品取引業者,35,"40,515",3.80
2586,株式会社フルッタフルッタ,2026-03-31,その他の法人,100,"17,741",1.66
2586,株式会社フルッタフルッタ,2026-03-31,外国法人等 個人以外,35,"42,374",3.98
2586,株式会社フルッタフルッタ,2026-03-31,外国法人等 個人,314,"11,259",1.05
2586,株式会社フルッタフルッタ,2026-03-31,個人その他,"41,612","951,330",89.43
2586,株式会社フルッタフルッタ,2026-03-31,計,"42,098","1,063,662",100.00
2586,株式会社フルッタフルッタ,2026-03-31,単元未満株式の状況（株）,,"28,369",
2587,サントリー食品インターナショナル株式会社,2025-12-31,政府及び地方公共団体,1,5,0.00
2587,サントリー食品インターナショナル株式会社,2025-12-31,金融機関,63,"284,727",9.21
2587,サントリー食品インターナショナル株式会社,2025-12-31,金融商品取引業者,30,"66,377",2.14
2587,サントリー食品インターナショナル株式会社,2025-12-31,その他の法人,395,"1,855,111",60.05
2587,サントリー食品インターナショナル株式会社,2025-12-31,外国法人等 個人以外,699,"790,774",25.59
2587,サントリー食品インターナショナル株式会社,2025-12-31,外国法人等 個人,131,303,0.00
2587,サントリー食品インターナショナル株式会社,2025-12-31,個人その他,"33,320","91,928",2.97
2587,サントリー食品インターナショナル株式会社,2025-12-31,計,"34,639","3,089,225",100
2587,サントリー食品インターナショナル株式会社,2025-12-31,単元未満株式の状況（株）,,"77,500",
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,政府及び地方公共団体,,,
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,金融機関,6,"27,412",12.57
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,金融商品取引業者,12,804,0.37
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,その他の法人,68,"126,047",57.79
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,外国法人等 個人以外,55,"2,020",0.93
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,外国法人等 個人,21,34,0.02
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,個人その他,"7,729","61,812",28.34
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,計,"7,891","218,129",100.00
2588,株式会社プレミアムウォーターホールディングス,2026-03-31,単元未満株式の状況（株）,,"6,499",
2590,ダイドーグループホールディングス株式会社,2026-01-20,政府及び地方公共団体,,,
2590,ダイドーグループホールディングス株式会社,2026-01-20,金融機関,13,"25,954",7.84
2590,ダイドーグループホールディングス株式会社,2026-01-20,金融商品取引業者,19,"2,301",0.69
2590,ダイドーグループホールディングス株式会社,2026-01-20,その他の法人,172,"126,133",38.14
2590,ダイドーグループホールディングス株式会社,2026-01-20,外国法人等 個人以外,121,"10,074",3.04
2590,ダイドーグループホールディングス株式会社,2026-01-20,外国法人等 個人,94,200,0.06
2590,ダイドーグループホールディングス株式会社,2026-01-20,個人その他,"44,459","166,042",50.20
2590,ダイドーグループホールディングス株式会社,2026-01-20,計,"44,878","330,704",100.00
2590,ダイドーグループホールディングス株式会社,2026-01-20,単元未満株式の状況（株）,,"66,600",
2593,株式会社伊藤園,2026-04-30,政府及び地方公共団体,,,
2593,株式会社伊藤園,2026-04-30,金融機関,44,"121,673",14.30
2593,株式会社伊藤園,2026-04-30,金融商品取引業者,26,"10,404",1.22
2593,株式会社伊藤園,2026-04-30,その他の法人,591,"286,682",33.69
2593,株式会社伊藤園,2026-04-30,外国法人等 個人以外,255,"116,237",13.66
2593,株式会社伊藤園,2026-04-30,外国法人等 個人,441,978,0.11
2593,株式会社伊藤園,2026-04-30,個人その他,"98,778","314,981",37.02
2593,株式会社伊藤園,2026-04-30,計,"100,135","850,955",100.00
2593,株式会社伊藤園,2026-04-30,単元未満株式の状況（株）,,"116,880",
2594,キーコーヒー株式会社,2026-03-31,政府及び地方公共団体,,,
2594,キーコーヒー株式会社,2026-03-31,金融機関,12,"24,545",10.83
2594,キーコーヒー株式会社,2026-03-31,金融商品取引業者,16,"1,686",0.74
2594,キーコーヒー株式会社,2026-03-31,その他の法人,173,"31,847",14.05
2594,キーコーヒー株式会社,2026-03-31,外国法人等 個人以外,47,"3,444",1.52
2594,キーコーヒー株式会社,2026-03-31,外国法人等 個人,100,342,0.15
2594,キーコーヒー株式会社,2026-03-31,個人その他,"57,306","164,864",72.71
2594,キーコーヒー株式会社,2026-03-31,計,"57,654","226,728",100.00
2594,キーコーヒー株式会社,2026-03-31,単元未満株式の状況(株),,"16,200",
2597,株式会社ユニカフェ,2025-12-31,政府及び地方公共団体,,,
2597,株式会社ユニカフェ,2025-12-31,金融機関,,,
2597,株式会社ユニカフェ,2025-12-31,金融商品取引業者,15,193,0.14
2597,株式会社ユニカフェ,2025-12-31,その他の法人,105,"85,848",61.90
2597,株式会社ユニカフェ,2025-12-31,外国法人等 個人以外,20,704,0.51
2597,株式会社ユニカフェ,2025-12-31,外国法人等 個人,47,46,0.03
2597,株式会社ユニカフェ,2025-12-31,個人その他,"38,265","51,159",37.42
2597,株式会社ユニカフェ,2025-12-31,計,"38,452","137,950",100
2597,株式会社ユニカフェ,2025-12-31,単元未満株式の状況（株）,,"74,200",
259A,株式会社ケイ・ウノ,2025-09-30,政府及び地方公共団体,,,
259A,株式会社ケイ・ウノ,2025-09-30,金融機関,,,
259A,株式会社ケイ・ウノ,2025-09-30,金融商品取引業者,1,1,0.0
259A,株式会社ケイ・ウノ,2025-09-30,その他の法人,9,"4,086",38.7
259A,株式会社ケイ・ウノ,2025-09-30,外国法人等 個人以外,1,6,0.0
259A,株式会社ケイ・ウノ,2025-09-30,外国法人等 個人,2,2,0.1
259A,株式会社ケイ・ウノ,2025-09-30,個人その他,"1,141","6,455",61.2
259A,株式会社ケイ・ウノ,2025-09-30,計,"1,154","10,550",100
259A,株式会社ケイ・ウノ,2025-09-30,単元未満株式の状況（株）,,200,
2602,日清オイリオグループ株式会社,2026-03-31,政府及び地方公共団体,,,
2602,日清オイリオグループ株式会社,2026-03-31,金融機関,25,"78,305",23.3
2602,日清オイリオグループ株式会社,2026-03-31,金融商品取引業者,21,"4,348",1.2
2602,日清オイリオグループ株式会社,2026-03-31,その他の法人,338,"74,667",22.2
2602,日清オイリオグループ株式会社,2026-03-31,外国法人等 個人以外,179,"53,062",15.8
2602,日清オイリオグループ株式会社,2026-03-31,外国法人等 個人,109,176,0.0
2602,日清オイリオグループ株式会社,2026-03-31,個人その他,"44,878","124,911",37.2
2602,日清オイリオグループ株式会社,2026-03-31,計,"45,550","335,469",100.0
2602,日清オイリオグループ株式会社,2026-03-31,単元未満株式の状況(株),,"169,357",
2607,不二製油株式会社,2026-03-31,政府及び地方公共団体,,,
2607,不二製油株式会社,2026-03-31,金融機関,29,"154,004",17.60
2607,不二製油株式会社,2026-03-31,金融商品取引業者,33,"36,494",4.17
2607,不二製油株式会社,2026-03-31,その他の法人,241,"435,828",49.80
2607,不二製油株式会社,2026-03-31,外国法人等 個人以外,227,"131,367",15.01
2607,不二製油株式会社,2026-03-31,外国法人等 個人,51,147,0.02
2607,不二製油株式会社,2026-03-31,個人その他,"25,277","117,338",13.41
2607,不二製油株式会社,2026-03-31,計,"25,858","875,178",100.00
2607,不二製油株式会社,2026-03-31,単元未満株式の状況（株）,,"51,583",
2612,かどや製油株式会社,2026-03-31,政府及び地方公共団体,,,
2612,かどや製油株式会社,2026-03-31,金融機関,3,951,1.02
2612,かどや製油株式会社,2026-03-31,金融商品取引業者,19,809,0.87
2612,かどや製油株式会社,2026-03-31,その他の法人,81,"65,995",70.26
2612,かどや製油株式会社,2026-03-31,外国法人等 個人以外,47,"1,198",1.28
2612,かどや製油株式会社,2026-03-31,外国法人等 個人,13,19,0.02
2612,かどや製油株式会社,2026-03-31,個人その他,"14,314","24,954",26.55
2612,かどや製油株式会社,2026-03-31,計,"14,477","93,926",100.00
2612,かどや製油株式会社,2026-03-31,単元未満株式の状況（株）,,"7,400",
2613,株式会社Ｊ－オイルミルズ,2026-03-31,政府及び地方公共団体,─,─,─
2613,株式会社Ｊ－オイルミルズ,2026-03-31,金融機関,21,"38,792",11.60
2613,株式会社Ｊ－オイルミルズ,2026-03-31,金融商品取引業者,22,"3,302",0.99
2613,株式会社Ｊ－オイルミルズ,2026-03-31,その他の法人,232,"145,477",43.53
2613,株式会社Ｊ－オイルミルズ,2026-03-31,外国法人等 個人以外,106,"29,789",8.91
2613,株式会社Ｊ－オイルミルズ,2026-03-31,外国法人等 個人,44,124,0.04
2613,株式会社Ｊ－オイルミルズ,2026-03-31,個人その他,"36,327","116,738",34.93
2613,株式会社Ｊ－オイルミルズ,2026-03-31,計,"36,752","334,222",100.00
2613,株式会社Ｊ－オイルミルズ,2026-03-31,単元未満株式の状況(株),─,"86,246",─
261A,株式会社日水コン,2025-12-31,政府及び地方公共団体,,,
261A,株式会社日水コン,2025-12-31,金融機関,4,"5,411",4.565
261A,株式会社日水コン,2025-12-31,金融商品取引業者,28,"2,414",2.036
261A,株式会社日水コン,2025-12-31,その他の法人,111,"68,633",57.911
261A,株式会社日水コン,2025-12-31,外国法人等 個人以外,23,"6,976",5.886
261A,株式会社日水コン,2025-12-31,外国法人等 個人,24,80,0.067
261A,株式会社日水コン,2025-12-31,個人その他,"7,641","35,000",29.532
261A,株式会社日水コン,2025-12-31,計,"7,831","118,514",100.000
261A,株式会社日水コン,2025-12-31,単元未満株式の状況（株）,,"14,600",
262A,株式会社インターメスティック,2025-12-31,政府及び地方公共団体,,,
262A,株式会社インターメスティック,2025-12-31,金融機関,11,"43,652",14.26
262A,株式会社インターメスティック,2025-12-31,金融商品取引業者,33,"13,523",4.42
262A,株式会社インターメスティック,2025-12-31,その他の法人,52,"107,804",35.23
262A,株式会社インターメスティック,2025-12-31,外国法人等 個人以外,50,"55,611",18.17
262A,株式会社インターメスティック,2025-12-31,外国法人等 個人,15,40,0.01
262A,株式会社インターメスティック,2025-12-31,個人その他,"6,694","85,248",27.89
262A,株式会社インターメスティック,2025-12-31,計,"6,855","305,878",100.0
262A,株式会社インターメスティック,2025-12-31,単元未満株式の状況(株),,"12,200",
263A,株式会社デジタルキューブ,2026-03-31,政府及び地方公共団体,,,
263A,株式会社デジタルキューブ,2026-03-31,金融機関,,,
263A,株式会社デジタルキューブ,2026-03-31,金融商品取引業者,,,
263A,株式会社デジタルキューブ,2026-03-31,その他の法人,4,"2,071",33.09
